sku,name,author,regular_price,sale_price,qty,publisher,edition,cost,notes,cover,translator,description,images,genre,ln,condition,isbn,no_of_page,name_alt,source_url,id,error
20-1-001,তিন গোয়েন্দা Vol 1 Part 1,Rakib Hassan,50,,8,সেবা প্রকাশনী,1989,20,,Paperback,,,,তিন গোয়েন্দা-OLD,Bn,OLD,,,,,45147,not found under this category
20-1-002,তিন গোয়েন্দা Vol 1 Part 2,Rakib Hassan,50,,2,সেবা প্রকাশনী,1989,20,,Paperback,,,,তিন গোয়েন্দা-OLD,Bn,OLD,,,,,45150,not found under this category
20-1-003,তিন গোয়েন্দা Vol 2 Part 1,Rakib Hassan,50,,0,সেবা প্রকাশনী,2014,20,,Paperback,,,,তিন গোয়েন্দা-OLD,Bn,OLD,,,,,45149,not found under this category
20-1-004,তিন গোয়েন্দা Vol 2 part 2,Rakib Hassan,50,,5,সেবা প্রকাশনী,1994,20,,Paperback,,,,তিন গোয়েন্দা-OLD,Bn,OLD,,,,,45148,not found under this category
20-1-005,তিন গোয়েন্দা Vol 3 Part 1,Rakib Hassan,50,,2,সেবা প্রকাশনী,1994,20,,Paperback,,,,তিন গোয়েন্দা-OLD,Bn,OLD,,,,,45151,not found under this category
20-1-006,তিন গোয়েন্দা Vol 3 Part 2,Rakib Hassan,50,,1,সেবা প্রকাশনী,1994,20,,Paperback,,,,তিন গোয়েন্দা-OLD,Bn,OLD,,,,,45153,not found under this category
20-1-007,তিন গোয়েন্দা Vol 4 Part 1,Rakib Hassan,50,,1,সেবা প্রকাশনী,1995,20,,Paperback,,,,তিন গোয়েন্দা-OLD,Bn,OLD,,,,,45152,not found under this category
20-1-008,তিন গোয়েন্দা Vol 4 Part 2,Rakib Hassan,50,,0,সেবা প্রকাশনী,2004,20,,Paperback,,,,তিন গোয়েন্দা-OLD,Bn,OLD,,,,,45154,not found under this category
20-1-009,তিন গোয়েন্দা Vol 5,Rakib Hassan,50,,2,সেবা প্রকাশনী,1992,20,,Paperback,,,,তিন গোয়েন্দা-OLD,Bn,OLD,,,,,45155,not found under this category
20-1-010,তিন গোয়েন্দা Vol 6,Rakib Hassan,50,,0,সেবা প্রকাশনী,1994,20,,Paperback,,,,তিন গোয়েন্দা-OLD,Bn,OLD,,,,,45156,not found under this category
