sku,name,author,regular_price,sale_price,quantity,publisher,edition,notes,cover,language,condition,images
20-10-001,এক্স এজেন্ট(মাসুদ রানা),কাজী আনোয়ার হোসেন,75.0,,1,সেবা প্রকাশনী,2019.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/এক্স%20এজেন্ট(মাসুদ%20রানা).jpg
20-10-005,ভলিউম ১৪১(তিন গোয়েন্দা),শামসুদ্দীন নওয়াব,75.0,,1,সেবা প্রকাশনী,2017.0,মেগা ভলিউম,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/ভলিউম%20১৪৪(তিন%20গোয়েন্দা).jpg
20-10-006,ভলিউম ১৪৪(তিন গোয়েন্দা),শামসুদ্দীন নওয়াব,75.0,,0,সেবা প্রকাশনী,2018.0,টাইটান ভলিউম,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/ভলিউম%20১৪৪(তিন%20গোয়েন্দা).jpg
20-10-007,ভলিউম ১৪৮(তিন গোয়েন্দা),শামসুদ্দীন নওয়াব,75.0,,0,সেবা প্রকাশনী,2019.0,জায়ান্ট ভলিউম,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/ভলিউম%20১৪৪(তিন%20গোয়েন্দা).jpg
20-10-010,মায়া মন্দির(মাসুদ রানা),কাজী আনোয়ার হোসেন,75.0,,2,সেবা প্রকাশনী,2017.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/মায়া%20মন্দির(মাসুদ%20রানা).jpg
20-10-025,দুরন্ত কৈশোর(মাসুদ রানা),কাজী আনোয়ার হোসেন,75.0,,0,সেবা প্রকাশনী,2016.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/দুরন্ত%20কৈশোর(মাসুদ%20রানা).jpg
20-10-031,খোঁজ(ওয়েস্টার্ন),গোলাম মাওলা নঈম,75.0,,0,সেবা প্রকাশনী,2018.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/খোঁজ(ওয়েস্টার্ন).jpg
20-10-032,হাঙ্গামা(ওয়েস্টার্ন),গোলাম মাওলা নঈম/মুনতাসির রহমান অর্ণব,75.0,,4,সেবা প্রকাশনী,2014.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/হাঙ্গামা(ওয়েস্টার্ন).jpg
20-10-033,শার্প শুটার(মাসুদ রানা),কাজী আনোয়ার হোসেন,75.0,,2,সেবা প্রকাশনী,2015.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/শার্প%20শুটার(মাসুদ%20রানা).jpg
20-10-035,মৃত্যুদ্বীপ(মাসুদ রানা),কাজী আনোয়ার হোসেন,75.0,,6,সেবা প্রকাশনী,2014.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/মৃত্যুদ্বীপ(মাসুদ%20রানা).jpg
20-10-036,ধর্মগুরু(মাসুদ রানা),কাজী আনোয়ার হোসেন,75.0,,0,সেবা প্রকাশনী,2017.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/ধর্মগুরু(মাসুদ%20রানা).jpg
20-10-041,মহাপ্লাবন(মাসুদ রানা),কাজী আনোয়ার হোসেন,75.0,,1,সেবা প্রকাশনী,2020.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/মহাপ্লাবন(মাসুদ%20রানা).jpg
20-10-045,অপয়া অপরাহ্ণ(অনুবাদ),স্যার আর্থার কোনান ডয়েল/আগাথা ক্রিস্টি,75.0,,0,সেবা প্রকাশনী,2017.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/অপয়া%20অপরাহ্ণ(অনুবাদ).jpg
20-10-048,বিনাশ(ওয়েস্টার্ন),গোলাম মাওলা নঈম,75.0,,2,সেবা প্রকাশনী,2013.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/বিনাশ(ওয়েস্টার্ন).jpg
20-10-069,ডেথ ট্রেইল(ওয়েস্টার্ন),সায়েম সোলায়মান,75.0,,0,সেবা প্রকাশনী,2014.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/ডেথ%20ট্রেইল(ওয়েস্টার্ন).jpg
20-10-078,বিষনাগিনী(মাসুদ রানা),কাজী আনোয়ার হোসেন,75.0,,3,সেবা প্রকাশনী,2016.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/বিষনাগিনী(মাসুদ%20রানা).jpg
20-10-087,মৃত্যু পরোয়ানা,ইসমাইল আরমান,75.0,,0,সেবা প্রকাশনী,2018.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/মৃত্যু%20পরোয়ানা.jpg
20-11-007,মূর্তি চোর,শামসুদ্দীন নওয়াব,40.0,,3,সেবা প্রকাশনী,2005.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/মূর্তি%20চোর.jpg
20-11-009,পুরানো কামান,রকিব হাসান,40.0,,2,সেবা প্রকাশনী,1996.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/পুরানো%20কামান.jpg
20-11-010,মহাকাশের কিশোর,রকিব হাসান,40.0,,4,সেবা প্রকাশনী,2002.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/মহাকাশের%20কিশোর.jpg
20-11-011,জয়দেবপুরে তিন গোয়েন্দা,রকিব হাসান,40.0,,1,সেবা প্রকাশনী,2003.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/জয়দেবপুরে%20তিন%20গোয়েন্দা.jpg
20-11-012,পতঙ্গ ব্যবসা,রকিব হাসান,40.0,,4,সেবা প্রকাশনী,1996.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/পতঙ্গ%20ব্যবসা.jpg
20-11-013,মারাত্নক বিপদ,শামসুদ্দীন নওয়াব,40.0,,3,সেবা প্রকাশনী,2005.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/মারাত্নক%20বিপদ.jpg
20-11-016,মায়া নেকড়ে,রকিব হাসান,40.0,,3,সেবা প্রকাশনী,1997.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/মায়া%20নেকড়ে.jpg
20-11-017,টাইম ট্রাভেল,রকিব হাসান,40.0,,3,সেবা প্রকাশনী,2002.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/টাইম%20ট্রাভেল.jpg
20-11-018,পোষা ডাইনোসর,রকিব হাসান,40.0,,8,সেবা প্রকাশনী,2001.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/পোষা%20ডাইনোসর.jpg
20-11-022,রাতের আঁধারে,রকিব হাসান,40.0,,5,সেবা প্রকাশনী,1998.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/রাতের%20আঁধারে.jpg
20-11-023,সময়সুড়ঙ্গ,রকিব হাসান,40.0,,2,সেবা প্রকাশনী,2000.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/সময়সুড়ঙ্গ.jpg
20-11-024,মায়াজাল,রকিব হাসান,40.0,,1,সেবা প্রকাশনী,,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/মায়াজাল.jpg
20-11-025,মরণসঙ্কেত,শামসুদ্দীন নওয়াব,40.0,,1,সেবা প্রকাশনী,2004.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/মরণসঙ্কেত.jpg
20-11-026,বিপদের গন্ধ,রকিব হাসান,40.0,,3,সেবা প্রকাশনী,,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/বিপদের%20গন্ধ.jpg
20-11-027,সীমান্তে সংঘাত,রকিব হাসান,40.0,,4,সেবা প্রকাশনী,2001.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/সীমান্তে%20সংঘাত.jpg
20-11-029,পিশাচকন্যা,রকিব হাসান,40.0,,7,সেবা প্রকাশনী,2000.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/পিশাচকন্যা.jpg
20-11-030,খেপা কিশোর,রকিব হাসান,40.0,,0,সেবা প্রকাশনী,1999.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/খেপা%20কিশোর.jpg
20-11-031,ভয়ঙ্ককর অসহায়,রকিব হাসান,40.0,,3,সেবা প্রকাশনী,1998.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/ভয়ঙ্ককর%20অসহায়.jpg
20-11-033,কিশোর জাদুকর,রকিব হাসান,40.0,,11,সেবা প্রকাশনী,1999.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/কিশোর%20জাদুকর.jpg
20-11-034,সরাইখানায় ষড়যন্ত্র,রকিব হাসান,40.0,,5,সেবা প্রকাশনী,2002.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/সরাইখানায়%20ষড়যন্ত্র.jpg
20-11-035,মৃত্যুঘড়ি,রকিব হাসান,40.0,,2,সেবা প্রকাশনী,1996.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/মৃত্যুঘড়ি.jpg
20-11-036,তুষার বন্দী,রকিব হাসান,40.0,,6,সেবা প্রকাশনী,1998.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/তুষার%20বন্দী.jpg
20-11-037,গ্রেট রবিনিয়োসো,রকিব হাসান,40.0,,1,সেবা প্রকাশনী,1999.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/গ্রেট%20রবিনিয়োসো.jpg
20-11-038,জলদস্যুর গুপ্তধন,রকিব হাসান,40.0,,0,সেবা প্রকাশনী,2004.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/জলদস্যুর%20গুপ্তধন.jpg
20-11-039,দূর্গরহস্য,রকিব হাসান,40.0,,4,সেবা প্রকাশনী,2004.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/দূর্গরহস্য.jpg
